track_id,tsne-one,tsne-two,tsne-three
6FfyYWFEk4zd7CgvjBa2ZK,2.871144,-0.5125995,5.8522563
7egGWCqoxtAuo7QgsWw3tm,3.7711377,-0.65610844,6.0146465
4IWGnyOHDrVZEtPWfs4s7q,-4.412972,-0.75851893,2.743424
4uhvMW7ly7tJil31YYscAN,0.9428998,-1.240885,-4.030711
2yuyaYAELoMG4ApV5wJsWR,2.3979208,-3.9100986,3.7852695
2Z9wPJaKys1LAOlcBtjvOU,2.9350066,-2.893792,3.8224738
44MFUuNGtBuB00LjDUnHE0,2.8713577,-2.799792,3.753398
2Sjm7A6JATOrnlybKFX4Vb,-0.79184556,-6.854198,3.4065576
6CfrYuD3YRDYdYvH9jNtXY,0.31828284,1.9562278,-9.47913
2jTujnt0y344ai1rNOywgr,2.0154808,-2.1659036,3.556753
2bjwRfXMk4uRgOD9IBYl9h,2.8751585,-4.742447,3.4509223
7bJ4mu7MHa3rHiNyKjOoSl,3.787573,-3.445547,-6.3978386
4XoP1AkbOurU9CeZ2rMEz2,0.9574097,3.8118415,8.985919
5qHirGR7M9tdm6C17DlzSY,5.2706995,-4.2454658,3.9338732
6nO3tr47nr2P7f3hXb8JIo,-6.250595,-2.7137215,-2.1462305
7zxRMhXxJMQCeDDg0rKAVo,-4.478097,-5.773157,-1.1043495
5qbcsZMwL0x46sX7VO37Ye,-2.465378,-4.164409,5.6311784
6urLjX35oXXRYtcH1b3dCh,-2.105333,-1.4686729,4.5772243
7JGyxh8G8QZnu4AMJuCqlj,-4.88028,-2.0382924,4.64135
7CWiWkccuRRdrmaW6AjVEf,-1.7810078,4.3186283,-5.1008
2QKBvCMHdokPoy2b44dK2m,-5.030628,0.4192133,4.523737
3SEd8nPd8MpGwk6ZZ8tk2j,-4.881549,0.41605493,4.564099
0KaA33vmmUEY77YD6L3KFi,-1.8033484,4.1385913,8.684531
49SrrLoFCJgy3zHMq3COto,-2.384059,5.374714,7.105775
2ya9d4B06EQ8Fpj5SSqiTH,5.8049064,-3.2617643,-0.7236845
78sr3ogs4UzITcCNbXM9cM,-5.1331687,-4.9762335,-3.0721545
5nN8BwAQDJDguq7Dpd3JQQ,-0.40286416,-7.948997,1.8653685
2KBzUcKeNdsujWiK3djHvd,-4.562397,-6.144866,4.111946
2onCHFrhTinyUc6OawwU4Z,6.6984024,-3.2236009,3.5488768
49zD0wr2S3d0lZPib0K4e1,3.1423953,-1.3438376,-5.8910823
5rqfg8Hz5D1aCcn2XUxzNA,7.1255584,-2.5260103,5.7550154
5Z2S8VemQCfM02SLq8o5cR,6.6669536,-3.242572,3.66459
537l7spEsGg6aWl6Y9eKAs,-5.9679174,-2.710513,3.7965038
1EuVCg1G7fVjuhKurU7m2b,4.181333,-4.147768,5.400462
4w2t054I46rM21oe3y5Qas,-1.6508839,-4.128343,5.6303725
6ytguNuHyIOozRmBOXPjns,-2.786831,-5.600518,4.3495097
3CA9pLiwRIGtUBiMjbZmRw,-4.238002,6.974461,-0.19680259
433P7tDcIAi6NLnf4Sh6tI,8.415363,4.7248545,-2.1811292
6oF3Es1YzzmLKjGBfThUvD,-0.7930895,4.544613,8.626068
5NFYuqu8V6QXc6mzcLImd6,2.2666016,1.1201612,-7.9122763
6V2D8Lls36APk0THDjBDfE,1.6201568,2.5719523,8.902999
23NWj2izXAJ4yL6Nah73wf,4.9573355,-3.5144033,1.5673829
4NdXQlDTzxbOMkzJGWFtz3,6.4443626,-6.2906985,1.1389318
7EOgYEXi2w5SOcNVCjCvzy,-3.524612,5.2126822,-5.174686
646iHsrMsAeI48Z2qU8WKf,-3.941286,4.908501,-7.772101
0z5jiuz3oC84uqta6qwq02,-1.0505328,-5.5416093,-2.1478598
0xeX14cDYPUduj2964zeWX,-3.235423,3.283512,-9.390126
3CmxmmW6zSaycW5vYac52q,-4.6320567,1.2146719,6.907323
5J5PXmMdQ2nh1lZOal8KmK,-4.4326053,5.316022,-4.5769386
0Y0TOsE1q11qgbi7c5WZsG,-1.5811632,-7.932857,1.5673457
3K184Hj0TOFKO3v7TA5u92,-0.11276701,5.148101,6.8708143
0UNeNA0dcfUMsGxvLwf2p3,6.5141015,5.8586626,0.042438135
3Qu1n0MaKSM8dpHzl6hLpX,5.293574,2.2762654,1.3250811
6j97zG4DDrh3oUa6rZbFOs,0.024840973,2.934886,10.004436
0VgkVdmE4gld66l8iyGjgx,2.5146332,-7.731627,2.644597
7wcyO1rrH3Ru4t659IjG41,-1.7201473,-5.0002084,-1.1607084
3WRIaWsws011vHMd9uzPjG,-4.3804727,-4.2821126,1.8479545
7EiZI6JVHllARrX9PUvAdX,4.064601,-8.968876,-4.299128
6BbINUfGabVyiNFJpQXn3x,2.426353,1.8251673,-7.9085383
2d8JP84HNLKhmd6IYOoupQ,-3.0557098,1.808887,-6.790425
0ESJlaM8CE1jRWaNtwSNj8,1.6903859,1.7181731,-7.228888
6gBFPUFcJLzWGx4lenP6h2,-6.445503,3.3447356,-0.27209312
1cZlBZwnwGPtYeRIeQcoFh,0.98234075,-2.2691705,1.998628
4vaxvNDaLSoD36iZX515ug,5.217289,-3.735081,3.1838121
4Km5HrUvYTaSUfiSGPJeQR,-4.683465,-0.02594878,5.8871975
5wihevBA7MO9PNYyWyTfkh,-0.08455764,-2.53151,4.251322
7sO0dVFCfixpLshm4daMH3,-4.337462,-1.0925179,4.647737
6p8NuHm8uCGnn2Dtbtf7zE,2.6163962,-1.1375805,-6.3404846
7KOlJ92bu51cltsD9KU5I7,2.4615214,-1.1261408,-6.3270564
4oLuMvGQ4WJfU2s4OM6nfE,-4.220524,-4.0098248,-2.3657587
76Y0gxtTxN0FyDCYh5qYQj,2.5414672,-1.1508806,-6.33197
1DAl49mec3YC7a3Yc86Gz2,0.12697063,-3.146054,4.997698
0tISnxqgVmxqhVghsTi2Rr,-0.15018569,-3.2599227,4.3986907
7tk5tOCj84jine8kKJkPYs,-0.9465813,-3.2758706,4.238096
5NAMZI9lVhxNa6AZp3iQVH,-1.5556481,4.392453,8.65516
7rPLYmabWMobWhoIqZe6rh,4.1936707,-6.5171137,2.2295718
4vULFpGH9sCBdCfCC6p3Xo,7.176083,5.51296,0.20347872
6k2iq1yULhXILe0i8xQqPF,-4.1415024,2.0908897,8.877113
6Gy7rXB6Ku5vIWC7WGWsl3,-0.32277548,3.0093002,10.096289
0jAfdqv18goRTUxm3ilRjb,-6.895069,-3.6927316,-2.2005243
1AH60dMaEfNjzDoUIFwIQi,-3.1802568,-1.6047751,5.362313
2vaMWMPMgsWX4fwJiKmdWm,-4.3331685,-2.2087464,-4.952851
2rMFawCg4BW65jzbwztXAV,-5.5871296,2.5612733,4.3507123
6Yqmv7XJLCrQEauMbPGZSw,-5.1999717,2.8612504,4.5623055
1wHZx0LgzFHyeIZkUydNXq,-2.9273407,-0.46625203,4.365758
3xby7fOyqmeON8jsnom0AT,-5.432733,2.8024638,4.413294
2hiuiI3ac0I5kJWtkeGHEL,-4.938431,0.4959441,4.574489
2dJ4rGtsOHOgvTQawsCRtg,-4.9745297,2.151067,4.8423705
2D2w9943rsnJOGCrI4aMQp,3.3904912,-9.140479,-3.8055587
5u6vkDnOyaf8LsteDAj2ub,6.903277,4.2805643,2.6859062
0yZ1dsAQJvGiVrO8VJhRxw,-2.2439349,-4.8919125,7.730848
3rEB4RNSXvE90GzvdjZsYz,-0.2538664,-3.761951,5.4077473
1c5Lbn9mYwNYbnNiizw6D0,2.2235541,-6.888416,2.7087412
1Us0oiVnrFwp802ekhlEPB,-4.2962723,4.985063,-5.4454756
